Nom	Heures_Ouverture	Services	Tarifs	Liens
Café Populaire	"Ouverture
Lundi

12:00 - 02:00

Mardi

12:00 - 02:00

Mercredi

12:00 - 02:00

Jeudi

12:00 - 02:00

Vendredi

12:00 - 02:00

Samedi

15:00 - 03:00

Dimanche

17:00 - 02:00"	['Diffusion de matchs', '🌬 Air climatisé', 'Concerts / Musique Live', 'DJ Mix']	"Happy HourStandardStella Artois(50cl)
- 
4,20 €
Picon(50cl)
- 
5,00 €
 Leffe
(50cl)
- 
6,00 €
 Ricard

- 
2,00 €

aaaaaaaaaaaaaa 
4,00 €

6,00 €

aaaaaaaaaaaaaa 
2,00 €

3,00 €

aaaaaaaaaaaaaaaaa 
6,00 €

6,00 €

aaaaaaaaaaaaaaaaaaaa 
6,00 €

8,00 €

aaaaaaaaaaaaaaaaaa 
6,00 €

7,00 €

aaaaaaaaaaa 
6,00 €

4,00 €

aaaaaaaaaaaaa 
5,00 €

1,00 €

aaaaaaaaaaaaaaaaaa 
6,00 €

4,00 €

aaaaaaaaaaaaaaaaaaaaa 
4,00 €

8,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/cafe-populaire
The Tower of London	"Ouverture
Lundi

17:00 - 00:00

Mardi

17:00 - 00:00

Mercredi

17:00 - 02:00

Jeudi

17:00 - 02:00

Vendredi

17:00 - 02:00

Samedi

15:00 - 03:00

Dimanche

15:00 - 00:00"	['Terrasse', 'Diffusion de matchs', 'Fléchettes']	"Happy HourStandardCharlie Wells(50cl)
5,20 €

- Bombardier(50cl)
5,50 €

- 
aaaaaaaaaaaaaaaaaaaa 
4,00 €

3,00 €

aaaaaaaaaaa 
4,00 €

6,00 €

aaaaaaaaaaa 
1,00 €

7,00 €

aaaaaaaaaaaa 
1,00 €

2,00 €

aaaaaaaaaaa 
4,00 €

5,00 €

aaaaaaaaaaaaaaaaaa 
3,00 €

1,00 €

aaaaaaaaaaaaaa 
7,00 €

6,00 €

aaaaaaaaaaaaaaaaaaaa 
2,00 €

2,00 €

aaaaaaaaaaaaaaaaaaaa 
2,00 €

6,00 €

aaaaaaaaaaa 
2,00 €

1,00 €

aaaaaaaaaaa 
3,00 €

8,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/the-tower-of-london
La Cale Sèche	"Ouverture
Lundi

18:00 - 02:00

Mardi

18:00 - 02:00

Mercredi

18:00 - 02:00

Jeudi

18:00 - 02:00

Vendredi

18:00 - 02:00

Samedi

18:00 - 03:00

Dimanche

Fermé"	['Terrasse', 'Concerts / Musique Live']	"Happy HourStandardBouteille de planteur(2cl)
15,00 €

- Bière(50cl)
5,00 €

- 
aaaaaaaaaaaaaaaa 
6,00 €

2,00 €

aaaaaaaaaaaaaa 
2,00 €

6,00 €

aaaaaaaaaaa 
6,00 €

7,00 €

aaaaaaaaaaaaaaaa 
4,00 €

4,00 €

aaaaaaaaaaa 
6,00 €

2,00 €

aaaaaaaaaaaaaaaaaaa 
3,00 €

2,00 €

aaaaaaaaaaaaa 
1,00 €

5,00 €

aaaaaaaaaaaa 
4,00 €

1,00 €

aaaaaaaaaaaaaaa 
7,00 €

5,00 €

aaaaaaaaaaaaa 
5,00 €

6,00 €

aaaaaaaaaaa 
4,00 €

6,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/la-cale-seche
G-Bar	"Ouverture
Lundi

Fermé

Mardi

20:00 - 02:00

Mercredi

20:00 - 02:00

Jeudi

20:00 - 02:00

Vendredi

20:00 - 02:00

Samedi

20:00 - 03:00

Dimanche

Fermé"	['Terrasse', 'Restauration', 'Concerts / Musique Live']	"Happy HourStandardBière(50cl)
5,00 €

- Cocktail
5,00 €

-"	/fr/places/g-bar
Au Poêle de la Bête	"Ouverture
Lundi

08:00 - 02:00

Mardi

08:00 - 02:00

Mercredi

08:00 - 02:00

Jeudi

08:00 - 02:00

Vendredi

08:00 - 02:00

Samedi

18:00 - 03:00

Dimanche

Fermé"	['Terrasse', 'Restauration']	"Happy HourStandardVerre de vin(17cl)
2,00 €

- Soft
2,00 €

-"	/fr/places/au-poele-de-la-bete
L'Evasion	"Ouverture
Lundi

10:30 - 02:00

Mardi

10:30 - 02:00

Mercredi

10:30 - 02:00

Jeudi

10:30 - 02:00

Vendredi

10:30 - 02:00

Samedi

16:00 - 03:00

Dimanche

Fermé"	['Restauration', 'Diffusion de matchs']	"Happy HourStandardStella Artois(50cl)
3,50 €

- Bière spéciale(50cl)
5,00 €

-"	/fr/places/levasion
Le Comptoir	"Ouverture
Lundi

Fermé

Mardi

17:30 - 01:00

Mercredi

17:30 - 01:00

Jeudi

17:30 - 02:00

Vendredi

17:30 - 02:00

Samedi

Fermé

Dimanche

Fermé"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Accès & Toilettes Handicapés', 'Concerts / Musique Live']	"Happy HourStandardLicorne(50cl)
- 
7,00 €"	/fr/places/le-comptoir-2
Le Bibent	"Ouverture
Lundi

09:00 - 22:30

Mardi

09:00 - 22:30

Mercredi

09:00 - 22:30

Jeudi

09:00 - 22:30

Vendredi

09:00 - 22:30

Samedi

09:00 - 22:30

Dimanche

09:00 - 22:30"	['Terrasse', 'Restauration']	5 Place du Capitole, 31000 Toulouse	/fr/places/le-bibent
El Chivito	"Ouverture
Lundi

Fermé

Mardi

18:00 - 01:00

Mercredi

18:00 - 01:30

Jeudi

16:00 - 01:30

Vendredi

16:00 - 01:30

Samedi

15:00 - 02:30

Dimanche

Fermé"	['Terrasse', 'Restauration']	"15 Rue des Blanchers, 31000 Toulouse
 +33 5 67 33 77 48
 Réserver une table"	/fr/places/el-chivito
Mucho	"Ouverture
Lundi

Fermé

Mardi

09:00 - 02:00

Mercredi

09:00 - 02:00

Jeudi

09:00 - 02:00

Vendredi

09:00 - 02:00

Samedi

09:00 - 03:00

Dimanche

Fermé"	['Terrasse', 'Restauration', 'Wifi gratuit', 'Diffusion de matchs', '🌬 Air climatisé']	"9 Place du Pont Neuf, 31000 Toulouse
 +33 5 61 21 66 28
 Réserver une table"	/fr/places/mucho
Dubliners	"Ouverture
Lundi

17:00 - 01:00

Mardi

17:00 - 02:00

Mercredi

17:00 - 02:00

Jeudi

17:00 - 02:00

Vendredi

17:00 - 02:00

Samedi

18:00 - 01:00

Dimanche

Fermé"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Fléchettes', 'Concerts / Musique Live']	"46 Avenue Marcel Langer, 31400 Toulouse
 +33 5 61 14 23 16
 Réserver une table"	/fr/places/dubliners
Moloko	"Ouverture
Lundi

18:00 - 02:00

Mardi

18:00 - 02:00

Mercredi

18:00 - 02:00

Jeudi

18:00 - 02:00

Vendredi

18:00 - 02:00

Samedi

18:00 - 03:00

Dimanche

Fermé"	['Concerts / Musique Live', 'DJ Mix']	"6 Rue Joutx Aigues, 31000 Toulouse
Transports
B
 Carmes"	/fr/places/moloko
Taparcero	"Ouverture
Lundi

Fermé

Mardi

16:00 - 22:00

Mercredi

16:00 - 22:00

Jeudi

16:00 - 22:00

Vendredi

16:00 - 22:00

Samedi

16:00 - 22:00

Dimanche

Fermé"	['Restauration', 'Vente à emporter', 'Wifi gratuit', 'Chiens acceptés']	"Happy HourStandardGin Tonic(Verre)
6,00 €

8,00 €
Sangria(50 cl)
4,00 €

5,00 €
 Bière blonde
(50 cl)
3,00 €

5,00 €
 Coca-Cola
(33cl)
- 
2,50 €

aaaaaaaaaaaa 
7,00 €

3,00 €

aaaaaaaaaaaaaaaaaaaaa 
3,00 €

4,00 €

aaaaaaaaaaaaaaaaaa 
4,00 €

6,00 €

aaaaaaaaaaaaa 
3,00 €

3,00 €

aaaaaaaaaaa 
2,00 €

6,00 €

aaaaaaaaaaaaaa 
7,00 €

5,00 €

aaaaaaaaaaaaaa 
2,00 €

1,00 €

aaaaaaaaaaaaaaaaaa 
3,00 €

8,00 €

aaaaaaaaaaaa 
6,00 €

8,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/taparcero
Chez Tonton	"Ouverture
Lundi

07:00 - 02:00

Mardi

07:00 - 02:00

Mercredi

07:00 - 02:00

Jeudi

07:00 - 02:00

Vendredi

07:00 - 02:00

Samedi

09:00 - 03:00

Dimanche

11:00 - 02:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', '🌬 Air climatisé', 'Concerts / Musique Live', 'DJ Mix']	"Happy HourStandardPastis(25cl)
1,00 €

2,00 €
Kronenbourg(25cl)
1,30 €

3,00 €
 Sirop
(50cl)
2,00 €

3,00 €
 Soda
(50cl)
2,50 €

3,50 €

aaaaaaaaaaaaaaaaa 
3,00 €

6,00 €

aaaaaaaaaaaaaaaaaaa 
1,00 €

2,00 €

aaaaaaaaaaaaa 
1,00 €

2,00 €

aaaaaaaaaaaaaa 
7,00 €

1,00 €

aaaaaaaaaaaaaaaaaaaaa 
3,00 €

6,00 €

aaaaaaaaaaaaaaaaa 
7,00 €

8,00 €

aaaaaaaaaaaaaaaaaaaaa 
3,00 €

6,00 €

aaaaaaaaaaaaaaaaaaaaa 
3,00 €

3,00 €

aaaaaaaaaaaaaaaaaaaa 
6,00 €

3,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/chez-tonton
Wanted Jack Saloon	"Ouverture
Lundi

Fermé

Mardi

17:00 - 02:00

Mercredi

17:00 - 02:00

Jeudi

17:00 - 02:00

Vendredi

17:00 - 02:00

Samedi

17:00 - 03:00

Dimanche

Fermé"	['Terrasse', 'Restauration', 'Wifi gratuit', '🌬 Air climatisé', 'Accès & Toilettes Handicapés', 'Fléchettes', 'Concerts / Musique Live', 'DJ Mix']	"Happy HourStandardBière(50cl)
4,00 €

7,00 €
Cocktail(le verre)
6,00 €

8,50 €
 Bouteille de shooter
(La bouteille)
25,00 €

30,00 €
 Soft
(Le verre)
2,00 €

3,00 €

aaaaaaaaaaaaaaaaaa 
8,00 €

2,00 €

aaaaaaaaaaa 
1,00 €

2,00 €

aaaaaaaaaaaaaaa 
3,00 €

4,00 €

aaaaaaaaaaaaaaa 
1,00 €

5,00 €

aaaaaaaaaaaaaaaaaaaa 
4,00 €

1,00 €

aaaaaaaaaaaaaaaaaaa 
7,00 €

7,00 €

aaaaaaaaaaaaaaaaaaa 
4,00 €

7,00 €

aaaaaaaaaaa 
4,00 €

2,00 €

aaaaaaaaaaaaaaaaaaa 
8,00 €

7,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/wanted-jack-saloon
Le Petit Voisin	"Ouverture
Lundi

07:00 - 02:00

Mardi

07:00 - 02:00

Mercredi

07:00 - 02:00

Jeudi

07:00 - 02:00

Vendredi

07:00 - 02:00

Samedi

07:00 - 03:00

Dimanche

Fermé"	['Terrasse', 'Vente à emporter', 'Wifi gratuit', 'Diffusion de matchs', 'Baby-Foot', 'Flipper', 'Jeux de société']	"Happy HourStandardKronenbourg(50cl)
3,00 €

4,00 €
Ricard(3cl)
1,00 €

- 
aaaaaaaaaaaaaaaaaaa 
1,00 €

7,00 €

aaaaaaaaaaaaaaa 
8,00 €

6,00 €

aaaaaaaaaaaaaaaaaaaaa 
6,00 €

1,00 €

aaaaaaaaaaaaaaaa 
2,00 €

4,00 €

aaaaaaaaaaaaaaa 
1,00 €

7,00 €

aaaaaaaaaaaaaaaaaa 
5,00 €

6,00 €

aaaaaaaaaaaaaaaaa 
2,00 €

2,00 €

aaaaaaaaaaaaaaaaa 
2,00 €

4,00 €

aaaaaaaaaaaaaaaaaaaa 
1,00 €

7,00 €

aaaaaaaaaaaaaaaaaaa 
8,00 €

1,00 €

aaaaaaaaaaaaaaaa 
2,00 €

7,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/le-petit-voisin
La Goulue	"Ouverture
Lundi

09:00 - 15:00

Mardi

08:00 - 00:00

Mercredi

08:00 - 00:00

Jeudi

08:00 - 00:00

Vendredi

08:00 - 00:00

Samedi

10:00 - 00:00

Dimanche

Fermé"	['Terrasse', 'Restauration']	"Happy HourStandard1664 Blonde(50cl)
4,00 €

-"	/fr/places/la-goulue
Smoking Barrel	"Ouverture
Lundi

17:30 - 02:00

Mardi

17:30 - 02:00

Mercredi

17:30 - 02:00

Jeudi

17:30 - 02:00

Vendredi

17:30 - 02:00

Samedi

17:30 - 03:00

Dimanche

17:30 - 02:00"	['Terrasse', 'Restauration']	"5 Pl. Jean Diebold, 31300 Toulouse
 +33 5 34 63 12 17
 Réserver une table"	/fr/places/smoking-barrel
Le Bièrographe	"Ouverture
Lundi

17:30 - 00:00

Mardi

17:30 - 00:00

Mercredi

17:30 - 00:00  17:30 - 02:00

Jeudi

17:30 - 02:00

Vendredi

17:30 - 02:00

Samedi

16:30 - 02:30

Dimanche

Fermé"	['Restauration', 'Diffusion de matchs', 'Concerts / Musique Live', 'DJ Mix']	"12 Rue des Paradoux, 31000 Toulouse
Transports
B
 Carmes +33 7 66 27 20 08
 Réserver une table"	/fr/places/le-bierographe
L Episode	"Ouverture
Lundi

Fermé

Mardi

16:00 - 02:00

Mercredi

16:00 - 02:00

Jeudi

16:00 - 02:00

Vendredi

16:00 - 02:00

Samedi

14:00 - 03:00

Dimanche

Fermé"	['Restauration']	"3 Rue des Blanchers, 31000 Toulouse
 +33 5 61 21 34 02
 Réserver une table"	/fr/places/l-episode
The Four Monkeys	"Ouverture
Lundi

16:30 - 02:00

Mardi

16:30 - 02:00

Mercredi

16:30 - 02:00

Jeudi

16:30 - 02:00

Vendredi

16:30 - 02:00

Samedi

16:30 - 03:00

Dimanche

16:30 - 02:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Concerts / Musique Live']	"Happy HourStandardKronenbourg(50cl)
- 
5,40 €
Carlsberg(50cl)
- 
6,40 €
 Grimbergen Blonde
(50cl)
- 
7,20 €
 Grimbergen Ambrée
(50cl)
- 
7,20 €

aaaaaaaaaaa 
7,00 €

7,00 €

aaaaaaaaaaaa 
4,00 €

6,00 €

aaaaaaaaaaaaaaaaaaaa 
1,00 €

4,00 €

aaaaaaaaaaaaaaaaaaaa 
3,00 €

5,00 €

aaaaaaaaaaaaaaaaaaa 
6,00 €

8,00 €

aaaaaaaaaaaaa 
3,00 €

2,00 €

aaaaaaaaaaa 
1,00 €

6,00 €

aaaaaaaaaaaaaaaaaaa 
2,00 €

8,00 €

aaaaaaaaaaa 
4,00 €

1,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/the-four-monkeys
Le Biergarten Toulouse	"Ouverture
Lundi

17:00 - 01:00

Mardi

17:00 - 02:00

Mercredi

17:00 - 02:00

Jeudi

17:00 - 02:00

Vendredi

17:00 - 02:00

Samedi

17:00 - 02:00

Dimanche

17:00 - 00:00"	['Terrasse', 'Restauration']	"Happy HourStandard
Oktoberfest Bier
(50cl)
- 
7,00 €

Munich
(50cl)
- 
6,00 €
 Dunkel
(50cl)
- 
7,50 €
 Saint Thomas
(50cl)
- 
8,00 €

aaaaaaaaaaaaaaaaaa 
8,00 €

3,00 €

aaaaaaaaaaaaaaaaaaaa 
6,00 €

5,00 €

aaaaaaaaaaaaa 
5,00 €

5,00 €

aaaaaaaaaaaaa 
2,00 €

7,00 €

aaaaaaaaaaaaaaaaaaaa 
1,00 €

6,00 €

aaaaaaaaaaaaaaaaaaaa 
4,00 €

3,00 €

aaaaaaaaaaaaaaaaa 
8,00 €

5,00 €

aaaaaaaaaaaa 
3,00 €

1,00 €

aaaaaaaaaaaaaaaaaaaa 
6,00 €

5,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/le-biergarten-toulouse
L'Ancienne Belgique	"Ouverture
Lundi

16:00 - 02:00

Mardi

16:00 - 02:00

Mercredi

16:00 - 02:00

Jeudi

16:00 - 02:00

Vendredi

16:00 - 02:00

Samedi

16:00 - 02:00

Dimanche

Fermé"	['Terrasse', 'Restauration', 'Concerts / Musique Live']	"Happy HourStandardJupiler(50cl)
4,00 €

6,00 €
Cuvée des Trolls(50cl)
- 
8,80 €
 Triple Karmeliet
(50cl)
- 
9,90 €
 Blanche
(50cl)
- 
8,00 €

aaaaaaaaaaaaaaaa 
3,00 €

3,00 €

aaaaaaaaaaaaa 
2,00 €

1,00 €

aaaaaaaaaaa 
6,00 €

5,00 €

aaaaaaaaaaaaaaaaaaaa 
1,00 €

4,00 €

aaaaaaaaaaaaaaaa 
5,00 €

8,00 €

aaaaaaaaaaaaaaa 
7,00 €

4,00 €

aaaaaaaaaaaaaaa 
8,00 €

6,00 €

aaaaaaaaaaaaaaa 
5,00 €

7,00 €

aaaaaaaaaaa 
3,00 €

2,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/lancienne-belgique
Bar Des Zés	"Ouverture
Lundi

18:00 - 02:00

Mardi

18:00 - 02:00

Mercredi

18:00 - 02:00

Jeudi

18:00 - 02:00

Vendredi

18:00 - 02:00

Samedi

18:00 - 03:00

Dimanche

Fermé"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Fléchettes']	"Happy HourStandard
Licorne Blonde
(50cl)
3,50 €

5,50 €
Slash Mango(50cl)
- 
7,00 €
 Cidre Henry Weston
(50cl)
- 
7,00 €
 Skoll
(33cl)
- 
4,00 €

aaaaaaaaaaa 
2,00 €

3,00 €

aaaaaaaaaaaaaa 
4,00 €

1,00 €

aaaaaaaaaaaaaaaaaaa 
7,00 €

6,00 €

aaaaaaaaaaaaaaaaaaa 
8,00 €

4,00 €

aaaaaaaaaaaaaaaaaa 
1,00 €

4,00 €

aaaaaaaaaaaaaaaaaaa 
7,00 €

8,00 €

aaaaaaaaaaa 
2,00 €

1,00 €

aaaaaaaaaaaaaaaa 
5,00 €

8,00 €

aaaaaaaaaaaaaaaaaaaa 
4,00 €

7,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/bar-des-zes
Le Carbet d'Oc	"Ouverture
Lundi

12:00 - 00:00

Mardi

12:00 - 00:00

Mercredi

12:00 - 00:00

Jeudi

12:00 - 01:00

Vendredi

12:00 - 02:00

Samedi

12:00 - 03:00

Dimanche

12:00 - 00:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Concerts / Musique Live', 'DJ Mix']	"Happy HourStandardPelforth(50cl)
4,00 €

6,00 €
Mort Subite White Lambic(50cl)
6,00 €

7,50 €
 Heineken
(33cl)
- 
5,50 €
 Mort Subite Kriek Lambic
(33cl)
- 
6,00 €

aaaaaaaaaaaaaaaaa 
3,00 €

5,00 €

aaaaaaaaaaaaaa 
5,00 €

2,00 €

aaaaaaaaaaaaaaaaaaaa 
8,00 €

3,00 €

aaaaaaaaaaaaa 
5,00 €

5,00 €

aaaaaaaaaaaaaa 
2,00 €

3,00 €

aaaaaaaaaaaa 
3,00 €

2,00 €

aaaaaaaaaaaa 
6,00 €

6,00 €

aaaaaaaaaaaaaaaa 
1,00 €

8,00 €

aaaaaaaaaaa 
2,00 €

2,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/le-carbet-doc
Pub O'Clock	"Ouverture
Lundi

15:00 - 02:00

Mardi

15:00 - 02:00

Mercredi

15:00 - 02:00

Jeudi

15:00 - 02:00

Vendredi

10:00 - 02:00

Samedi

10:00 - 03:00

Dimanche

10:00 - 02:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Concerts / Musique Live']	"Happy HourStandardPaulaner(50cl)
4,00 €

- Maredsous Blonde(50cl)
4,50 €

-  Paulaner Salvator
(50cl)
4,50 €

-  Brewdog Punk Ipa
(50cl)
5,00 €

- 
aaaaaaaaaaaaaaa 
5,00 €

7,00 €

aaaaaaaaaaaaaa 
4,00 €

8,00 €

aaaaaaaaaaaaaaaaaaaa 
8,00 €

3,00 €

aaaaaaaaaaaaa 
7,00 €

3,00 €

aaaaaaaaaaa 
7,00 €

5,00 €

aaaaaaaaaaaaaaaaaaaaa 
3,00 €

5,00 €

aaaaaaaaaaaaaaaaaaaaa 
5,00 €

1,00 €

aaaaaaaaaaaaaaaaa 
3,00 €

7,00 €

aaaaaaaaaaa 
4,00 €

4,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/pub-oclock
The George and Dragon	"Ouverture
Lundi

16:00 - 02:00

Mardi

16:00 - 02:00

Mercredi

16:00 - 02:00

Jeudi

16:00 - 02:00

Vendredi

16:00 - 02:00

Samedi

15:00 - 03:00

Dimanche

15:00 - 01:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Concerts / Musique Live', 'DJ Mix']	"Happy HourStandard
John Bull Classic
(50cl)
5,20 €

- 
Charlie Dry Hopped Lager
(50cl)
6,20 €

-  Charlie Triple Hopped IPA
(50cl)
6,20 €

-  Wit a Minute
(50cl)
6,50 €

- 
aaaaaaaaaaaaaa 
5,00 €

1,00 €

aaaaaaaaaaaa 
6,00 €

3,00 €

aaaaaaaaaaaaaaaaaa 
1,00 €

8,00 €

aaaaaaaaaaaaaaaaaaa 
7,00 €

3,00 €

aaaaaaaaaaaaaaaaaaaaa 
7,00 €

1,00 €

aaaaaaaaaaaaaaaaaaa 
4,00 €

2,00 €

aaaaaaaaaaaaaa 
3,00 €

2,00 €

aaaaaaaaaaaaaaa 
6,00 €

1,00 €

aaaaaaaaaaaa 
2,00 €

2,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/the-george-and-dragon
The Melting Pot Pub	"Ouverture
Lundi

12:00 - 02:00

Mardi

12:00 - 02:00

Mercredi

12:00 - 02:00

Jeudi

12:00 - 02:00

Vendredi

12:00 - 02:00

Samedi

12:00 - 03:00

Dimanche

12:00 - 02:00"	['Terrasse', 'Wifi gratuit', 'Diffusion de matchs', '🌬 Air climatisé', 'Accès & Toilettes Handicapés', 'Baby-Foot', 'Chiens acceptés']	"Happy HourStandardStella Artois(50cl)
4,70 €

6,20 €
1664 Blanche(50cl)
5,40 €

6,90 €
 Leffe Blonde
(50cl)
6,70 €

8,20 €
 Guinness
(50cl)
6,40 €

7,90 €

aaaaaaaaaaaaaaaa 
3,00 €

8,00 €

aaaaaaaaaaaaaaaaaaaa 
4,00 €

7,00 €

aaaaaaaaaaaaaaaaa 
1,00 €

2,00 €

aaaaaaaaaaaaa 
6,00 €

7,00 €

aaaaaaaaaaaaaaa 
2,00 €

5,00 €

aaaaaaaaaaaaaaaaa 
8,00 €

2,00 €

aaaaaaaaaaaaaaaaaa 
7,00 €

1,00 €

aaaaaaaaaaaaaaaaaaaa 
6,00 €

2,00 €

aaaaaaaaaaaaaaaaaaa 
2,00 €

1,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/the-melting-pot-pub
Les Tricheurs	"Ouverture
Lundi

17:00 - 01:00

Mardi

17:00 - 01:00

Mercredi

17:00 - 01:00

Jeudi

17:00 - 01:00

Vendredi

17:00 - 01:00

Samedi

15:00 - 02:00

Dimanche

15:00 - 02:00"	['Jeux de société']	"Happy HourStandardLicorne(50cl)
5,00 €

- 
Bière au Beurre
(50cl)
7,00 €

-  Cidre au Beurre
(50cl)
7,00 €

-  Cidre au Beurre
(50cl)
4,00 €

- 
aaaaaaaaaaaaaa 
3,00 €

7,00 €

aaaaaaaaaaaaaaa 
5,00 €

1,00 €

aaaaaaaaaaaaa 
5,00 €

5,00 €

aaaaaaaaaaaaaaa 
2,00 €

8,00 €

aaaaaaaaaaa 
2,00 €

7,00 €

aaaaaaaaaaaaaa 
8,00 €

1,00 €

aaaaaaaaaaaa 
6,00 €

4,00 €

aaaaaaaaaaaaa 
1,00 €

6,00 €

aaaaaaaaaaaaaa 
8,00 €

5,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/les-tricheurs-1
Baraka Jeux	"Ouverture
Lundi

17:00 - 01:00

Mardi

17:00 - 01:00

Mercredi

17:00 - 01:00

Jeudi

17:00 - 01:00

Vendredi

17:00 - 02:00

Samedi

14:00 - 02:00

Dimanche

14:00 - 00:00"	['Terrasse', 'Restauration']	"Happy HourStandardStella Artois(50cl)
3,90 €

- Hoegaarden Blanche(50cl)
4,90 €

-  Triple Karmeliet
(50cl)
5,60 €

-  Picon
(50cl)
5,00 €

- 
aaaaaaaaaaaaaaaaa 
6,00 €

8,00 €

aaaaaaaaaaaaaaaaaa 
2,00 €

5,00 €

aaaaaaaaaaaaaaaaaaaa 
1,00 €

7,00 €

aaaaaaaaaaaaaaaaa 
1,00 €

4,00 €

aaaaaaaaaaaaaaaaaa 
6,00 €

8,00 €

aaaaaaaaaaaaa 
8,00 €

6,00 €

aaaaaaaaaaaaaaaaaaaa 
8,00 €

3,00 €

aaaaaaaaaaaa 
1,00 €

7,00 €

aaaaaaaaaaaa 
4,00 €

8,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/baraka-jeux-1
Dada	"Ouverture
Lundi

18:00 - 00:00

Mardi

18:00 - 02:00

Mercredi

18:00 - 02:00

Jeudi

18:00 - 02:00

Vendredi

18:00 - 02:00

Samedi

18:00 - 03:00

Dimanche

Fermé"	['Terrasse', 'Restauration', 'Wifi gratuit', 'Accès & Toilettes Handicapés', 'Concerts / Musique Live', 'DJ Mix', 'Chiens acceptés']	"Happy HourStandardMutzig(50cl)
4,00 €

- Picon(50cl)
5,00 €

-  Vin Blanc
(12.5cl)
2,00 €

-  Vin Rouge
(12.5cl)
2,00 €

- 
aaaaaaaaaaaaaaaaaaaaa 
1,00 €

7,00 €

aaaaaaaaaaaaaaaaaaa 
1,00 €

3,00 €

aaaaaaaaaaa 
4,00 €

7,00 €

aaaaaaaaaaaa 
7,00 €

1,00 €

aaaaaaaaaaaaaaaaaaaaa 
2,00 €

4,00 €

aaaaaaaaaaaaaaaa 
2,00 €

2,00 €

aaaaaaaaaaaa 
2,00 €

6,00 €

aaaaaaaaaaa 
6,00 €

1,00 €

aaaaaaaaaaaaaa 
7,00 €

8,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/dada
